,ID,Name,Artist,Release_Date,duration_ms,score,num_sp_playlists,sp_popularity,sp_streams,weekly_sp_stream,monthly_sp_streams
36,5D9xmzTUQT3713raZVCAZz,NGÀY MAI,"['RAP VIỆT', 'V#']",2024-10-14,167445,1,41,20,122594,700,3273
37,6UrpFdmHur3lmeBGw40064,NHỮNG NẺO ĐƯỜNG GẦN XA,"['RAP VIỆT', 'Dacia']",2024-10-14,185806,0,33,19,100570,521,2485
38,2cFvyAkK5F17M1qpgrDqgC,QUÊ TỚ,"['RAP VIỆT', 'Gnob']",2024-10-14,149151,1,62,23,162902,1317,6140
39,13fewfLviv8QelUzkEbK34,THỦ ĐÔ CHẤT,"['RAP VIỆT', 'Lil Van']",2024-10-14,209142,0,31,22,128472,1328,5999
40,3ed6kQlyHuoCYkHNXwrN3r,NHẠC EM,"['RAP VIỆT', 'ICY FAMOU$']",2024-10-14,156124,1,92,28,233230,3787,15745
41,0oWvRMHobBvUH3tiKi5DiX,NHẤP NHÔ,"['RAP VIỆT', 'Coldzy']",2024-10-14,156623,1,98,24,227528,1790,8428
42,2naHX4cacns359w3ugyt3P,ĐÂU PHẢI VỢ ANH,"['RAP VIỆT', 'Dangrangto']",2024-10-14,184000,21,673,53,5090529,132076,559832
65,34JGsufO4ZjaVG7KOaHO6v,SỨC MẠNH ĐOÀN KẾT,"['RAP VIỆT', 'Quân Lee']",2024-10-07,183206,0,16,14,75558,227,1170
66,4umoUYp02N2QdnUlCuSNkg,CÓ EM VUI,"['RAP VIỆT', 'Ngắn']",2024-10-07,224000,2,111,31,383937,5091,25603
67,4WGquTbsKXS3BMIXEpvbJn,RĂNG HAY RỨA HÈ,"['RAP VIỆT', 'Saabirose']",2024-10-07,193714,2,109,29,354783,3788,17905
68,2JHAd38SPTbYfYJhGQHGRE,MẦU THỊ,"['RAP VIỆT', 'Vlary']",2024-10-07,176938,1,54,24,161622,1691,8293
69,44yPd8Ny2L3KJH3RmTt3hr,GIÓ YÊU MÂY,"['RAP VIỆT', 'V High']",2024-10-07,232000,0,28,19,98716,383,1853
70,0bzTNaETmw5sqJwsAeRKhp,BA ĐIỀU ƯỚC,"['RAP VIỆT', 'Lower']",2024-10-07,251333,2,133,29,277660,3389,16544
71,1WhqmKStZf96buRBG2ZehZ,ĐỪNG GHEN,"['RAP VIỆT', 'Mason Nguyen']",2024-10-07,183829,3,128,29,370821,3664,18320
101,7AJc9A2PIFQdZJXX0OR3IU,NO LIMIT,"['RAP VIỆT', 'JustaTee', 'Thai VG', 'Karik', 'Suboi', 'BigDaddy', 'B Ray']",2024-09-23,283943,1,85,25,234891,2358,9807
102,1VKr34ojMZLfSiKStI73nJ,CÙNG ANH NHỮNG CHUYẾN ĐI,"['RAP VIỆT', 'RamC']",2024-09-23,174000,1,71,22,187034,1521,6646
103,3pOOLS2o6b7ZDTGPjwuIYn,LÝ RAPPER,"['RAP VIỆT', 'Tiêu Minh Phụng']",2024-09-23,140400,5,70,24,176471,2174,8798
104,4aN50NCNxwV7wKyw9NPZvI,RỨA THÂU,"['RAP VIỆT', '7dnight']",2024-09-23,198200,2,171,33,502644,7077,29622
105,1keigJwF8a3EPPotHbhX7M,ZINDO FOR LOVE,"['RAP VIỆT', 'ZINDO']",2024-09-23,167142,0,29,15,90866,346,1406
106,2l2mzZRmGsGwrYSzcWJ3Ul,BỐ... Ở ĐÂY!,"['RAP VIỆT', 'Dablo']",2024-09-23,205714,0,39,19,114482,878,3628
107,0T5QmxHZ1l5zmxfXrHRHft,TẠI SAO VẬY?,"['RAP VIỆT', 'Shayda']",2024-09-23,202000,11,306,36,1150738,12046,52610
144,0mhfW8VkkCQBUSDqHJKJnA,Miễn Chê,"['RAP VIỆT', 'BigDaddy', 'Tez']",2023-09-10,214465,4,504,27,1332861,3482,13645
145,2sguZVB2jGEPoGXiwfK9ES,Da Money Team  [feat. Andree Right Hand & Quang Anh Rhyder],['RAP VIỆT'],2023-09-10,205901,1,338,31,915128,8716,27518
146,0jV9S5sUnQSEvwMSXQ2u4l,Người Được Chọn,"['RAP VIỆT', 'B Ray', '24k.Right', 'Dick', 'CAPTAIN', 'Đạt G']",2023-09-10,318066,4,1018,41,3534500,27601,104595
147,24Hr6vJ9VYiWoLaNKSRf5p,Vải Thiều,"['RAP VIỆT', 'Karik', 'SMO']",2023-09-10,190515,1,182,19,432850,919,3619
148,1X6MvG5FKqJ7z8BHVZO498,Như Hình Với Bóng,"['RAP VIỆT', 'Suboi', 'Pháp Kiều']",2023-09-10,186240,1,250,23,729862,2111,8360
149,0tRpWjAPI6SCNcOMQGw4z5,Việt Nam Muôn Đời,"['RAP VIỆT', 'Thai VG', 'Liu Grace', 'Mikelodic']",2023-09-10,243902,2,510,31,1571077,7497,27650
150,5P7kRfpLaQRQsHKhgqximh,Tay-Lai Pr0  [feat. JustaTee & Double2T],['RAP VIỆT'],2023-09-10,258305,3,590,31,2215003,6068,26497
151,4WxlLvfzOUim3VSp8f67br,Vẫn Lit - Hội Không Nón,"['RAP VIỆT', 'IndieK', 'HURRYKNG', 'CAPTAIN', 'Ogenus', 'STRANGE H', 'gung0cay', 'Yuno Bigboi', 'Tọi']",2023-09-10,434864,1,360,30,912325,6159,23720
196,1kVyThG6NhcbgNorq7xweu,Kéo Em Về Làm Vợ,"['RAP VIỆT', 'Double2T']",2023-09-03,200888,1,373,23,1155543,2327,9111
197,4feNnnBOPGY8VaoIk1Q0Mp,Huhu Haha,"['RAP VIỆT', 'SMO', ""Lil'Wuyn""]",2023-09-03,245371,1,297,21,672112,1457,5768
198,486dVHo58R4EhBQjcYF2NX,Khi Cơn Mơ Dần Phai,"['RAP VIỆT', 'Tez', 'Myra Trần']",2023-09-03,195840,10,2295,45,9963761,46748,186419
199,3nkG7srXxyvQpEgiMjQgDm,Lối Đi Riêng,"['RAP VIỆT', 'Pháp Kiều']",2023-09-03,202105,2,355,30,1170339,4875,23464
200,719Z1dnp95fwmbs2st1PKn,Ai Cũng Có Thể Là Quán Quân,"['RAP VIỆT', 'Dick', 'Bùi Công Nam']",2023-09-03,245567,1,373,26,1063181,2450,14754
201,6eAeHA1D7ONFYUuw0LlhGN,Nhạc Cho Mẹ,"['RAP VIỆT', 'Mikelodic']",2023-09-03,199385,2,279,25,934959,2363,11409
202,4CrTXVuKQnFlIoscIDgMCq,Có Nhiều Cái Khó Nói,"['RAP VIỆT', 'Liu Grace']",2023-09-03,218555,2,440,26,1088288,3248,12461
203,6eZXnm0149lcpJYP2GAPvP,Anh Không Xứng,"['RAP VIỆT', 'Quang Anh Rhyder']",2023-09-03,230400,2,411,33,1374620,8543,33890
204,5PFMVgxcZ5BXQQHCi8vsCM,Truy Lùng Bảo Vật,"['RAP VIỆT', '24k.Right', 'Sofia']",2023-09-03,291030,4,932,40,3199040,24808,103459
258,7Er9YffjXxYeM8cuR8S5kf,Money Dream,"['RAP VIỆT', 'Dlow', 'STRANGE H']",2023-08-09,194140,1,375,18,840532,1613,7190
259,43RAQl8YaAkxgvKcMTfREN,"Cậu Ấm, Cô Chén","['RAP VIỆT', 'Quang Anh Rhyder', 'dubbie']",2023-08-09,201600,2,530,31,1650794,11026,38426
260,31VQrj7pRcOIHmwwZka7RP,Nay Mai,"['RAP VIỆT', 'MinhLai', 'Shorty Thang']",2023-08-09,195840,1,183,12,475687,464,1730
261,3qI77OP19eagIU9O5hE11G,Né,"['RAP VIỆT', 'SMO', 'Richie D.ICY']",2023-08-09,182857,1,447,19,1049359,1696,6440
262,71f0NoMvc0YLsvC7DQmqzY,Hạt Gạo Việt Nam,"['RAP VIỆT', 'Double2T', 'LoR', 'Mây Bae']",2023-08-09,202666,1,238,12,759893,1042,4261
263,6MgCMS8q3NA89TnVuPLvIN,Baby Gọi Cho Anh,"['RAP VIỆT', 'CAPTAIN', 'UMIE']",2023-08-09,178252,10,2111,43,8422460,60548,241108
264,6HpkHTTwfVmSoopeloHqOp,Anh Là Ai?,"['RAP VIỆT', 'Dick', 'DT', 'UMIE']",2023-08-09,223783,14,3264,46,13826545,93300,367452
265,0lDDSevciAVBAU8adO3XKh,"Ổn Không, Brô","['RAP VIỆT', '24k.Right', 'Yuno Bigboi']",2023-08-09,189629,2,624,25,1715529,4318,17925
266,6hDhtP2Igh5rAidXW5a4aW,Ôi Trường Tôi,"['RAP VIỆT', 'Voltak', 'CADMIUM']",2023-08-09,208861,0,102,6,274029,168,692
267,2NgYfXJiw9OECR3AAMSOlW,Yêu Hay Không Yêu,"['RAP VIỆT', 'Tọi', 'Hydra']",2023-08-09,143319,1,283,12,687552,971,3890
268,2u9Z9l5MmxBym9B8pqPAZ8,Tình Yêu Qúa Là Điên Rồ,"['RAP VIỆT', 'Liu Grace', 'wAvy']",2023-08-09,181500,1,188,14,520730,892,3414
269,5OYTgAmnGKMRo5lDXINPch,Nơi Ta Sống,"['RAP VIỆT', 'Long Nón Lá', 'Mikelodic']",2023-08-09,179668,3,689,29,2403391,8111,32574
270,2aODgL8cjBmLqMx22OHHSL,Bỏ Thế Nào,"['RAP VIỆT', 'Tez', 'gung0cay']",2023-08-09,194324,1,301,17,721674,1291,5173
271,2klURP9bqe3vHSQ4iqHNhM,Bet On Us,"['RAP VIỆT', 'HURRYKNG', 'IndieK', 'Mây Bae']",2023-08-09,198817,2,521,23,1345063,2817,11179
272,5RuZw8NsvI4BSlmI2yqgeS,Anh Không Cố Ý,"['RAP VIỆT', 'Limitlxss', 'Ogenus']",2023-08-09,255278,8,1164,33,3878209,13435,55422
273,3JgTifVzhC0gEgebv9qj2n,Hổng Có Ưa,"['RAP VIỆT', 'Pháp Kiều', 'Snoop Dee']",2023-08-09,230322,1,349,21,874369,1978,7807
343,7kV0VFydNSfDGZswo3WPmF,We Go Hard,"['RAP VIỆT', 'JustaTee', 'Karik', 'BigDaddy', 'Andree Right Hand', 'Suboi', 'B Ray', 'Thai VG']",2023-07-21,217303,4,857,37,4527665,14767,54796
344,5QCSm2KOu1QgXnItE9MOSS,Để Anh Sang,"['RAP VIỆT', 'CAPTAIN']",2023-07-21,180543,1,446,34,1533708,11356,42771
345,38NsLRyfT62K4gWQpGjwY6,[ NGƯỜI - NGỰA ],"['RAP VIỆT', 'Voltak']",2023-07-21,178667,0,57,2,104954,167,632
346,3NwuwVKHURURv5D1sS7oh2,Hoa Hồng Gai...y!,"['RAP VIỆT', 'Pháp Kiều']",2023-07-21,154285,2,533,30,1921880,6293,25026
347,7EqsmvJgYRVVsaqfLsjmZf,Hơi Bị Nóng,"['RAP VIỆT', 'gung0cay']",2023-07-21,176000,1,207,17,493019,769,3135
348,0xBQnKulJl9gjxtcQ8U4Jv,Vô Thường,"['RAP VIỆT', 'Sona']",2023-07-21,210491,0,31,7,78393,184,610
349,3i1qIKsGtl7311CKWfe23n,Việt Nam Kiêu Hùng,"['RAP VIỆT', 'CADMIUM']",2023-07-21,198579,0,80,10,165827,337,1320
350,2g68ePl7VMltuOiuSTAz7I,Để Anh Một Mình,"['RAP VIỆT', 'Quang Anh Rhyder']",2023-07-21,192000,7,1872,44,8282399,64161,268584
351,6Lnuo00lHwcoXwD1Ui1u1b,Anh Béo,"['RAP VIỆT', 'Yuno Bigboi']",2023-07-21,162000,0,70,7,272794,167,625
352,0T7kjIHUJg8vKrO9BfJGOG,Đóng Băng,"['RAP VIỆT', 'dubbie']",2023-07-21,153236,0,48,7,71716,139,638
353,4wpYH5O8lKYfOE3zcK9pkK,Ngược Dòng Nước Mắt,"['RAP VIỆT', 'MegaShock', 'Vũ Thảo My']",2023-07-21,154576,1,235,19,491364,1745,6342
354,0MVhs5arrqKQKbWuwClZE7,Có Không Giữ Mất Rồi Buồn,"['RAP VIỆT', 'DT', 'Anh Tú']",2023-07-21,170909,1,189,16,623619,1492,5867
355,3f1zD0U0Mpz9gYUqUQhPET,Bao Giờ Lấy Vợ,"['RAP VIỆT', 'Right', 'Anh Tú']",2023-07-21,192000,3,907,31,2572584,12294,45851
356,1UZzXqLC3OSA23RTvEOjFQ,HÃY YÊU TÔI BÂY GIỜ,"['RAP VIỆT', 'HURRYKNG', 'KymLeez']",2023-07-21,240000,3,532,27,1667383,4930,19806
357,4dmaNptk7vUsHFF9KUqknu,ON MY WAY,"['RAP VIỆT', 'STRANGE H', 'KymLeez']",2023-07-21,198400,0,51,7,101748,206,729
358,4Wxtt0dAbPrXZDu4wfR8dN,NÀNG,"['RAP VIỆT', 'Ogenus', 'Anh Tú', 'Đặng Thái Bình']",2023-07-21,205128,4,1020,34,4032344,18776,78650
359,53lNoGrePnPSD1OL8tPGID,TÂM,"['RAP VIỆT', 'Richie D.ICY', 'Anh Tú']",2023-07-21,136901,0,103,7,365310,380,1320
360,60kk7KV8YwRNESFEkJXQvs,CHO BA MẸ,"['RAP VIỆT', 'zex zex']",2023-07-21,182280,0,90,20,227194,1973,5600
361,4UOxcZqszxN9FD42DqHrVi,VỀ QUÊ,"['RAP VIỆT', 'Mikelodic', 'Đặng Thái Bình']",2023-07-21,177230,7,1662,33,6057649,17881,71399
362,1GV03u3EfM2rLcXeMC98Cn,Đất Và Lửa,"['RAP VIỆT', 'Long Nón Lá', 'Anh Tú', 'EVY']",2023-07-21,204000,1,203,15,554866,876,3230
363,1QojeEe3gL5rgQEnSxd5g2,Dậy Đi!,"['RAP VIỆT', 'IndieK']",2023-07-21,149333,0,56,7,82958,138,514
364,6cAF73ZUxNcKm6DVk5Axjq,"Cơm, Áo, Gạo, Tiền","['RAP VIỆT', 'Tez', 'Ngô Lan Hương']",2023-07-21,167713,2,170,15,499318,709,3020
365,3VQDDxO7aXqamwhgmylJHg,Huỳnh Kim Long,"['RAP VIỆT', 'Dick', 'Phan Mạnh Quỳnh']",2023-07-21,219386,2,578,33,2277394,19350,72237
366,2WsrdglzeviErblRpBET7x,Trân Trọng Tiểu Tiết,"['RAP VIỆT', 'Wolf C', 'Anh Tú']",2023-07-21,208800,2,31,6,68387,143,489
367,64MtOI3pXkAdqluI5VH2bC,Vành Khuyên Nhỏ,"['RAP VIỆT', 'Liu Grace']",2023-07-21,162457,5,1056,28,3185820,8335,33618
368,6aHnEhn7D4p1Skda746tbA,Việt Nam Ơi!,"['RAP VIỆT', 'Lor', 'Anh Tú']",2023-07-21,185103,0,95,0,296047,291,1069
369,7CsYTsQ7OiGebpY4tLjRma,Say Trong Đêm Nay,"['RAP VIỆT', 'LIL MIKEY', 'Đặng Thái Bình']",2023-07-21,178558,0,94,10,313741,238,868
370,3Tbo3VwIbIxsj9w8UV55N5,Anh Không Hối Tiếc,"['RAP VIỆT', 'Limitlxss', 'Vũ Thảo My']",2023-07-21,214757,1,342,21,833697,1748,6796
371,20ljI9Ye1iUmbA8m5jWcbi,Thích em từ đêm hôm qua,"['RAP VIỆT', 'Hydra', 'Anh Tú']",2023-07-21,230902,1,466,22,1138210,2061,7817
372,6o5zUfo0LNHDkVpyhJHffp,Nhẹ,"['RAP VIỆT', 'Tọi', 'Bon Nghiêm']",2023-07-21,206103,2,221,19,628352,1095,4120
373,6ynhF70a95hDwxlUO2gT6w,Con Gái Phải Sang,"['RAP VIỆT', 'UMIE', 'Ngô Lan Hương']",2023-07-21,166859,0,115,14,400394,481,2150
374,0MCe6QR0A7zoaUfRmUc3ED,Trong Sương,"['RAP VIỆT', 'MinhLai']",2023-07-21,173839,5,1055,30,2700136,6340,24165
375,2yTHGhbfkHXgjYaxEtlGdV,"Hot Shot, Dlow","['RAP VIỆT', 'Dlow']",2023-07-21,163711,2,607,28,2139215,5268,21000
376,1gCa2JSQjRVMhD7WNI2J9U,Mời Mọi Người Đến Thăm,"['RAP VIỆT', 'Shorty Thang']",2023-07-21,179779,0,48,5,195861,99,384
377,3lJ8KxGPAIJefREHDZVz0l,Tình... Cảm Lạnh!,"['RAP VIỆT', 'Nhật Hoàng', 'EVY']",2023-07-21,192000,2,40,1,55999,168,735
378,5e12FKQCJmTCye2yDwUi6b,Cậu Ba Lục Bình,"['RAP VIỆT', 'Snoop Dee', 'Anh Tú', 'Vũ Thảo My', 'EVY']",2023-07-21,180079,0,67,6,230452,119,547
379,0uRdB97IdnecznjFO9jZjI,Cùng Bay Nào,"['RAP VIỆT', 'SMO']",2023-07-21,160000,2,193,13,472809,429,1691
380,7BIlqrkHnE9pA1qqwsOoS4,"Không ""Chỉ Là Thoáng Qua""","['RAP VIỆT', 'wAvy', 'Vũ Thảo My']",2023-07-21,168827,2,197,18,571284,836,3635
381,2ffL5yZzNULuotvlwm3nUE,Thanh Âm Miền Núi,"['RAP VIỆT', 'Double2T', 'Vũ Thảo My']",2023-07-21,178481,5,696,29,2435206,6167,24131
490,4qrWuGE4Qu9RRVZVpMKWyw,"Hot Shot, Dlow","['RAP VIỆT', 'Dlow']",2023-07-02,163711,2,607,28,2139215,5268,21000
491,6uq1YbQGrw9iXhYuEUNaQN,Mời Mọi Người Đến Thăm,"['RAP VIỆT', 'Shorty Thang']",2023-07-02,179779,0,48,5,195861,99,384
492,1TK03OdCYNAS41mxxOU1OR,Tình... Cảm Lạnh!,"['RAP VIỆT', 'Nhật Hoàng', 'EVY']",2023-07-02,192000,2,40,1,55999,168,735
493,7ybehMgtSbiWEmJMoPimgf,Cậu Ba Lục Bình,"['RAP VIỆT', 'Snoop Dee', 'Anh Tú', 'Vũ Thảo My', 'EVY']",2023-07-02,180079,0,67,6,230452,119,547
494,1Lu5vGTo09sPQxt4bZGgid,Cùng Bay Nào,"['RAP VIỆT', 'SMO']",2023-07-02,160000,2,193,13,472809,429,1691
495,23KjbgQbFM8z2Hsae5Cuqe,"Không ""Chỉ Là Thoáng Qua""","['RAP VIỆT', 'wAvy', 'Vũ Thảo My']",2023-07-02,168827,2,197,18,571284,836,3635
496,6pj8ntaFwK9Ds3aJy9TOXu,Thanh Âm Miền Núi,"['RAP VIỆT', 'Double2T', 'Vũ Thảo My']",2023-07-02,178481,5,696,29,2435206,6167,24131
612,4K91NkVP135Qt6b1ePaGmA,Việt Nam Ơi!,"['RAP VIỆT', 'Lor', 'Anh Tú']",2023-06-25,185103,0,95,0,296047,291,1069
613,4h3EAmjDLsTzueU2OEB22N,Say Trong Đêm Nay,"['RAP VIỆT', 'LIL MIKEY', 'Đặng Thái Bình']",2023-06-25,178558,0,94,10,313741,238,868
614,6RcwUzJLlg4jrrbYi7kjD8,Anh Không Hối Tiếc,"['RAP VIỆT', 'Limitlxss', 'Vũ Thảo My']",2023-06-25,214757,1,342,21,833697,1748,6796
615,3Ku98GM8jMevZ8rE50dixq,Thích em từ đêm hôm qua,"['RAP VIỆT', 'Hydra', 'Anh Tú']",2023-06-25,230902,1,466,22,1138210,2061,7817
616,0hua8EU0OVraNv6CW7VsNm,Nhẹ,"['RAP VIỆT', 'Tọi', 'Bon Nghiêm']",2023-06-25,206103,2,221,19,628352,1095,4120
617,5Mk6CsJb4fSeRtcOoblTFq,Con Gái Phải Sang,"['RAP VIỆT', 'UMIE', 'Ngô Lan Hương']",2023-06-25,166859,0,115,14,400394,481,2150
618,3yVR75LhLsVbpqORZscJZx,Trong Sương,"['RAP VIỆT', 'MinhLai']",2023-06-25,173839,5,1055,30,2700136,6340,24165
741,1HWa2i5mZzs2VImVqwwfuI,We Go Hard,"['RAP VIỆT', 'JustaTee', 'Karik', 'BigDaddy', 'Andree Right Hand', 'Suboi', 'B Ray', 'Thai VG']",2023-05-28,217303,4,857,37,4527665,14767,54796
742,3FwCSmPavTc5G79Xgi6kMB,Để Anh Sang,"['RAP VIỆT', 'CAPTAIN']",2023-05-28,180543,1,446,34,1533708,11356,42771
743,1PYRKUqYHGMRA1EjPOxOUc,[ NGƯỜI - NGỰA ],"['RAP VIỆT', 'Voltak']",2023-05-28,178667,0,57,2,104954,167,632
744,6z6ufG09fgDiG8gVwVP9Cw,Hoa Hồng Gai...y!,"['RAP VIỆT', 'Pháp Kiều']",2023-05-28,154285,2,533,30,1921880,6293,25026
745,2pEK9flR9I30m9bzRy58HQ,Hơi Bị Nóng,"['RAP VIỆT', 'gung0cay']",2023-05-28,176000,1,207,17,493019,769,3135
746,7rn1FI3Rk1jGDCEmTnectg,Vô Thường,"['RAP VIỆT', 'Sona']",2023-05-28,210491,0,31,7,78393,184,610
747,5eqOo093INz404i5IUGrei,Việt Nam Kiêu Hùng,"['RAP VIỆT', 'CADMIUM']",2023-05-28,198579,0,80,10,165827,337,1320
877,1r38puxDo8lw7QBXoc6yc4,TÂM TRONG TIM,"['RAP VIỆT', 'Wowy', 'Blacka']",2022-01-26,218920,0,174,12,404255,909,4685
878,02YaKSlkBE7h9FjRfUL7nL,HẾT NẤC,"['RAP VIỆT', 'LK', 'Lil Wuyn']",2022-01-26,212139,0,70,0,196495,1074,2606
879,1vwc311aNYEooNkbFKLvzP,DO IT FOR FLY TEAM,"['RAP VIỆT', 'Binz', 'Kellie']",2022-01-26,175410,2,399,21,917273,3142,13993
880,30fb3KL6gw9Gv7SGTZ2VhD,ÚI XỜI,"['RAP VIỆT', 'JustaTee', 'Hoàng Anh']",2022-01-26,220840,0,260,19,501290,1489,6038
881,57DEBZwRHZPCZegjhfKoYx,HOAN HÔ,"['RAP VIỆT', 'Rhymastic', 'VSOUL', 'B-Wine']",2022-01-26,239999,0,107,12,336974,602,2199
882,3Bt8VqqQi2vHWZlehEaU5v,KHẮC CỐT GHI TÂM,"['RAP VIỆT', 'Karik', 'Seachains', 'Dlow']",2022-01-26,253333,0,246,25,1041998,4442,15627
883,2HXo5FasfR5SNbHmXno7f0,CHÚNG TA LÀ CHIẾN BINH RAP VIỆT,"['RAP VIỆT', '2Can', 'Mai Âm Nhạc', 'Sidie', 'IM Possible', 'Free', '$A Milo']",2022-01-26,504093,0,38,5,191223,283,5044
1020,0YDqYTGiWyQe4St0JK8YBo,ĐI SAU VỀ TRƯỚC,"['RAP VIỆT', 'Dlow']",2022-01-24,212957,2,122,11,312679,812,2186
1021,54AYvxxk0LGUAqpXgIMhQM,SINH TỒN,"['RAP VIỆT', 'Hoàng Anh']",2022-01-24,200000,0,44,3,108018,938,3855
1022,5KXl9SofUbWLGjNSPoHGCz,NHẬP VAI,"['RAP VIỆT', 'Lil Wuyn']",2022-01-24,219428,0,255,18,522019,1262,5541
1023,53axNvLJ1kO2tonnTNHB6M,CHÚ CHIM THƯ THÁI,"['RAP VIỆT', 'B-Wine']",2022-01-24,196363,0,286,18,549741,1171,4298
1024,4nENN3PX9fwsWmOEXysw5G,QUEEN OF CAT,"['RAP VIỆT', 'Kellie']",2022-01-24,206000,0,54,5,188520,304,4293
1025,7hr2C3P1IcUjCAWFnkplLR,TRANH KHUYẾT,"['RAP VIỆT', 'Blacka']",2022-01-24,220513,0,132,11,303308,697,2431
1026,26LA6GDDFvspPxNnXARFXH,A.I LOVE YOU,"['RAP VIỆT', 'VSOUL']",2022-01-24,190769,2,182,14,528128,804,2924
1027,4Js1e49r8MNiEgQmlOcFV6,CẢM ƠN,"['RAP VIỆT', 'Seachains']",2022-01-24,232727,2,197,20,646921,2182,6867
1172,0mc8HGMSYoMxRuJma5bslY,NGÀY MAI LÀ TƯƠNG LAI,"['RAP VIỆT', 'Obito']",2021-11-22,170571,1,686,30,2002347,7466,26161
1173,1aqe9gNwm12PKPV9ZENqT9,VỀ VỚI ĐỘI CỦA ANH,"['RAP VIỆT', '$A Milo']",2021-11-22,170823,0,55,6,170918,154,588
1174,4Z253aw3EDd5gXABULsJzc,ƯỚC MƠ CỦA MẸ,"['RAP VIỆT', 'TDO Kwan']",2021-11-22,188072,0,34,0,123922,1962,2991
1175,1LGdTw36Z30jNd7W8KDtiB,NƠI ĐÂU ĐÓ,"['RAP VIỆT', 'Hoàng Anh']",2021-11-22,162857,0,44,4,101373,167,2056
1176,75iC4mpFEmsf6RPWey0XzE,TÍA MÁ EM,"['RAP VIỆT', '6a6y 9ang']",2021-11-22,173959,0,49,3,134285,156,1237
1177,4H5Q2oGvKxd1eIQKZLqEq6,XÉ ĐÔI,"['RAP VIỆT', 'EMD']",2021-11-22,171428,0,37,3,244596,167,2375
1178,1hWTCfJic86rhriiFTNoHX,ĐẸP TỪ TRONG XƯƠNG,"['RAP VIỆT', 'Kellie']",2021-11-22,170618,0,46,5,216079,142,3947
1179,7MCpPN5lHh6ByGOnXEsqLO,TEEN RAP VIỆT,"['RAP VIỆT', 'Freaky']",2021-11-22,164400,0,97,6,341894,278,969
1332,26SA2DcptG6RZdywmocjSi,SẼ ỔN THÔI,"['RAP VIỆT', 'Killic']",2021-11-15,165600,0,46,6,186635,147,590
1333,6ktFAik14i7NXyylSQaNYr,BORN TO DO THIS,"['RAP VIỆT', 'Im Possible']",2021-11-15,164666,0,34,3,70945,156,1637
1334,5Jb9CBA3RsLtn99NXzJ15K,ĐỪNG ĐỂ NHẮC TÊN,"['RAP VIỆT', 'Lai Boom Boom']",2021-11-15,152380,0,16,1,55143,428,1858
1335,2oreBXj6bWzpDOQ4EvL9WJ,LUCKY BOY,"['RAP VIỆT', 'Dlow']",2021-11-15,149378,1,510,22,1115845,3874,16871
1336,0VS21PQ5gB5tcEHBACit4Q,BÁNH CUỐN,"['RAP VIỆT', 'Sidie']",2021-11-15,165000,0,38,0,353884,556,4652
